version,sha256,datetime,sources
11.6.1.629-20110816101610,b60893bd79f22b09a8d07e5c51145f3eb69a3aa597066c04bb7072fffa7b102c,2011-08-16 10:16:10,424ee2dff12340fe398a55655387604127600f0da0bdc607a17a46190df8550b 8fb542b0bc4841c0af86d1ff17c6b77715d113310c77de44ccc84868e2cebae9
11.6.1.629-20111005112129,f424d638bc8b732e9c58b0ad0aec6edecae4794178711b1a4a1ad82d461746fb,2011-10-05 11:21:29,ac34cf915b2badd4497edfe686e2f5efc3501429dd7074ab56594696b76d95d0 b5e09c40ba1d4a52b5470c397ca67f847a323bdd30ff27172dd3f222109056ce
11.6.3.633,fae7e569d4d7ddd1a73552fce7d3c8acdfa2442c7be3cfbaabc56914acaa39ce,2011-11-02 09:33:27,025d7cdefaee85336ea7e763065628a027795f73d61001306ac9e170b06514b0 eac5d0d5d42fae3ab2b79b699c87956e16eb8beabd3ddf0bf0f217abd4ac5e38
11.6.4.634,0cceaa6af8a084931c54d2e787c94ea7dbd5bbda1f60d90b44d46dd13fc8af93,2012-02-02 13:36:26,aeebb5e85d2d97c5d3c5d4afd68648fc25d4ed1b8b146b15c4a38c73b8a2c1ec
11.6.5.635,46a8e2479d395036804f7153de1d20bbca5bbfcaa748e3e090331074fb4aca04,2012-04-26 12:54:27,fae17fc79ad0ae880d5685619c305d2dda1558d1d98616637787acb96ac1fc14
11.6.6.636,3e0a6decf2bcb8c3fd698b99898fb95230cab6fded66eb2d5feebcc1f744cced,2012-08-08 16:02:51,90b72b9f17f715b02b5a817769a03c36c5a7f8ad3f6eb420e5439975e61d79a2
11.6.7.637,d4662a09b02735b8b5207328c438be4064be9d84187ea03ea3d78815299bf9b3,2012-08-08 18:37:14,e5bf0fb7a5bc2238cc9f3d468dfb38323423bba40e3274c5e55b91847a801842 f7675bca651b3745b8a6c5f016100fea886a6a5e067eb08366ebc8816fa5be32
11.6.8.638,a6500d6af03d41b20ad5d3aae3fe5595d948e0d2b3c1510985facb4078dc3c4d,2012-10-04 09:32:45,0c1a8be066b6ef2339eac3bedc8abb479c029561c831803c92deeeb2354f2494 3d3acef3b2bb9fb4ae6b235c7f48521d8358f49d8d554fe71544e109157d064d 776d8aa1d4519dc6394aa0c679212c6babb67f3dbeeae554efe44161b49a63ab baa157241b31bc03d87640d777620b6139d35a82f46690ce8aed154d0c77e74c cf72d3e0bd6213171a767b1f69947abac779c0103b6b0793db1766270421005c
12.0.0.111-codesign-0,2014b4a7327aaef221f2b69b98a68d27aa88e2f04b2cf9c0eeee592161f95e34,2013-01-24 12:23:07,director-mac-12.0.0
12.0.0.111-codesign-1,99dfaa7c48f2005509594cf9a53b22655d333b50ae482d1c34e62f58fe7d7121,2013-01-24 12:23:07,director-win-12.0.0
12.0.0.112-20130130144646,147a736d44f475a96e43fb0c6e240589e3a2ecce3da863ee69f869de762a4ceb,2013-01-30 14:46:46,3ea7103af02c76e4ed4bf494ee62edaa1a246ef70340f09e8ae3cc5b64e0cd1e 8cbb8914497d228e76168ab97d13c9a83ecc3192fec59ade30be041cda8d7ae8
12.0.0.112-20130218061436,8d7e238e27fcdfccf18749f431c0edbe740ac7ec6f18c4708bbdadfc76fc9b39,2013-02-18 06:14:36,4dd3df88ab27fe4b7bb488c13fcbe0e4a17845ce3d5676d853d26acaa4451d69 c36ac184f58c2467cc1cf63b5ff87ebdfaf3e434e56b9949fd340ab105cf6f70
12.0.0.112-20130315060140,25e50acc16bf9d7863146abbffead85a4e4fb741e59970157e4210b77631495d,2013-03-15 06:01:40,674582238b292805ee6e10f3d890b4ed3a36e9ab74833baec954ed658bab3615 d84a509897424dd436a060a17b03ae119fa21277c5b4ded8ab6c415a38dfc862
12.0.2.122,9886d5278518c47629c31e9a88232f6257cfb3f92881a491b4c4d25bb5e1315e,2013-04-03 13:57:05,5116a1e86567248940a513a0aab6097a3b760fc9b0140aa289c6faf761c9381a 67636d68254995c6a8e3db95cd9c6909363cb82ebdd43a2531696988c1ed319f
12.0.3.133,42a69f316076974bbd591e1ba880217262162c5dff5e6a67b6ae690ac7eeb408,2013-06-26 07:54:58,023b62dab5ffa2672e083c2c277a1f240df0c8d8404458f93870eb3d40b6b44c 2ddec2fd0442af7636ee0ca98e969026dd4bcffaf341a4517189c9e9d9bfdc8d b2c131735e12a32d208debe77c2a211cd5c21adca56a6485f55c7eca46149888
12.0.4.144,56e30937115c5ee0318d254eb715708df258176b13ebd2759f9e2d9db7c7bcac,2013-09-05 10:16:22,347587117f24b4e3dd94c1d4e5e15efec854742d442979ad7c18d547e99fff3b d358ca9c34ef69a864d0f71afee379decac1b5023b101bc0093e190766d26c0e
12.0.5.146,a4c92ebaaaf156b5bea14a7926df45ff2a139cc763979641ab4c25740fb3c315,2013-10-25 09:33:16,1a7f46150b6611b106fa358ed3167cbed1a6f74247b2da67103df2e7fc069e3b 6266e574ff12143db64433ba424d4a6d0cc131cf71e921016a38ede193f52f10
12.0.6.147,5ea540f5fce5c14cdfda20bd54704704f9c8a00e24c9e9e80ee918294c000d68,2013-11-25 09:36:31,1a66e40f40022ff3afc74a296a96a970e9fbbf751363313c44a047e7fc38b020
12.0.7.148,776a98138997036e19d80939ff0ed5653984dca7db4f175dc613b1205fa69b16,2013-12-05 08:43:02,0e18cc3850acc887034b55fd936076c22c84254adff358bb85dd52a31de7960e fa85d0764f93db4ac2c8c1c648ca9fd385131769966a730472c8c99ed6b726ef
12.0.9.149,2a582f47c46bbc5917f7483cc2d7ff6080e548c03be13291d225996a5138893d,2014-01-29 03:17:48,3812f3d286c43ff91687ef4ccb38778e2cdf0942b316907d8b7767d69917d18c
12.1.0.150,2073947fc2c52f4a88312d4f75b13b8f9ede35e788742b3c6c13ec1e36caa056,2014-03-11 08:43:43,6d6bd2064e8406c5c7ebfaaa9acc62a939360c19e5d50000285314ec45da1a37
12.1.1.151,e1bd9d4e30ec2ae0f5cd4a769b823baea7b2baf0821385375e3e73826ecd814a,2014-04-15 05:13:24,3c6a93eeb659071d047632e2c03b8b12a34d988a8be4e3cf7d0b6af8163b3013 57d244b2da7e366d4017e03cf4fcf49cc70149a5bf6483764bbd34b72f1df275 a438412d1e6f416e9802f3ad508e2ea602e69c08713c5682eae40f545bf8f824 bcbb2a98253c875a364107341023e51664b79bfc590cc5548fbc667521118468
12.1.2.152,c859124d64fe4b26d376edcdd195759f3e18b1afd63bf8112ebdf14b4576069a,2014-05-30 06:30:19,d732b452b41e95ec61cdb83ec1f1747a3648d0aca58be743129546a01472a272
12.1.3.153-20140619052007,c00dea20e394efe47da17d4e34088a1000f89561bab21de60b6de53f25a4abec,2014-06-19 05:20:07,5cf62f3745c965050181c15fb22df0dd733f09830f9282cfa390f92e31cc4f38
12.1.3.153-20140624181820,4e3aa4fb1061d892f7328c3e8cedbd7c429569819a5d56063d4f30fa611f7963,2014-06-24 18:18:20,967ccdf42e0c55d68c5e11b78ac7c55cc68b61cb25ad688594634ad569555e36 98572390932ca63393d5635f9b2b075f58696185efb6669c8281756ae6838a0c e2bd8695082ea42c6afbbd67ddd405c1cdc2875d26281aa18ce35b6de2b3e42d e7ebe5771c741754bc933a3ad2a3fbd8c08619f3237342318d5751506d1a75ac
12.1.4.154,16f4c715d050eca5d70af08a28fcda765ab40f2072acc9f06426d7c9003ae041,2014-11-07 13:01:30,b44e3f5dbc7e3ebdbdede5a7f0e8dce62c1bcb0789faffcce5b503a8774ee8aa
12.1.5.155-20141202094919,a37e10ae9a23746a115d66ce0498c8bdc8e0be330efacc675459ebcc2cb9edc5,2014-12-02 09:49:19,1cf1277c5e72cb8cf1fa0917c7e4571c165d452ce25b2ccac68e38568402463a 2e8aadd69ab7a354687f0af6f552b96a852c7c41fd9c61d6b746c69a278ac90c 837d62efa35c8c2990e533d8ce6287f465e03c2490cd1b37aef22d69f158ef99 ed1d5eda2ac41a311914f2b1fbaa6d60f7081c0fbea07c990d210a4313c696ba
12.1.5.155-20141211024817,600f3632707bcabf718b983a1b55528afe1955be17402867fa350da27ffd165e,2014-12-11 02:48:17,6d5465fd3ea4ad9f0aa4448041242abc295e984bc43a628aa27ee6d437042e6d 7855a0bb7f776fa16d91423463faca9e0333d3ce294e609ee316cc6e566bb17f cecc48b166b5f517f2f28d54c8fd6a9614cb6fc07ac652f1d2094ceda4974f9f
12.1.6.156,54034080180e9cb75a037136843a55c0ab946ebbcbb1fb6a4b152bc048cbb6f8,2015-01-09 08:41:36,d290d62b3f93e8b9e64a3524fae5b58f01a0f7f54f49d9f43e4659b31f9fa3f1 f0b16ebfd271ad50ca2a1ca6b77be001e1672732f6ab397a7ff33fb10eb813a2
12.1.7.157-20150205090422,98fc7beeaeb9a0fc3a84e6243400a6a11f1a99a4fd78dac1477537375ea17bea,2015-02-05 09:04:22,8570a99f6d9bbd0d5d8be604c4139e948f3266bc3fbb5a5d24e0f625e22c6689 89a94a6deda920d454db20d0983e59305e371f9bd76204c439b3aa1f98174e94 9dc226203f08b6a597619656171ea85e7ccaa4f8154855a45871ff00bf32c345
12.1.7.157-20150205123856,b2428fb9f87a51dde4db21f8dc9d9c31ef351d9ba8f079a5b13b5c4c0e92a352,2015-02-05 12:38:56,26e2f03d20577bc3b6210d2cdf0b1adc5fff181f9f71804b5165541bf648cbe2
12.1.7.157-20150216081421,7cf7de122a660190753269b47e6b634854677ec136a43e60e4d594b095bd8de6,2015-02-16 08:14:21,037bd070362cf48c752ad55b9f40f2982c9813be2e433591479005b80f40bc09 bfa7b3c1473505659bbe18d036dd893503ebfb9ccf158f5fab5d8ceb7b3b7254
12.1.8.158-20150417144612,17980fe2b064fdfdffe4430b30e57646632114849181815c43f3722588a76c81,2015-04-17 14:46:12,3670c118433482c89c1f7158251e6e8156503b25e602a28e79ede98fcb80e1c4 54fcd8773c70737ba703f16c86505d892f947f967881173b607df749511f6668 a8e01a99c7ccd19e0692d475fbb0717e5edf4aad6116e565fc5c9fce83441255 b196c83a3be57aa18ddc59b6759793190037a1f1eb53c45e5ecdd0ab72263e65 d3c53381477f7c1c20a52b701137ddde5d19e1f5c4008078a71ecdfb8b582308
12.1.8.158-20150507050953,706d6fecd8e8c339b444778eb4df844e2244943df811fc0f0811751a25951c1e,2015-05-07 05:09:53,0bcf82e241ca73b948b0fafb8df18f70731a6c0c1cccf296911bc756e4573ddf 7b58ee8e34f90213d711ce1d1ab09a45e2b633b97cda0d2e790b16c430f29259
12.1.9.159,34081da9a3d2ec34ad599c04156d3f7bccd7d837e53ee6c1ed379c725b48bd96,2015-06-26 06:01:00,53f15311f0632a2847ba502ab1c8df62897381a3318f3797ccc6f84cfa47ecbf a63dbe7aaa3a484c277c2f0142d23b69faac5c698153307d5d92963a1e09fd9d
