version,sha256,datetime,sources
12.1.6.156,b4bce77225dbd4487d8e4e0e8ea22f719414183999737369b8bcd02750e42a4a,2015-01-09 08:42:41,d290d62b3f93e8b9e64a3524fae5b58f01a0f7f54f49d9f43e4659b31f9fa3f1 f0b16ebfd271ad50ca2a1ca6b77be001e1672732f6ab397a7ff33fb10eb813a2
12.1.7.157-20150205090529,5d251e3db8f126374b70af92092484fdaceac76e47a76f62b6dc864e28449088,2015-02-05 09:05:29,8570a99f6d9bbd0d5d8be604c4139e948f3266bc3fbb5a5d24e0f625e22c6689 89a94a6deda920d454db20d0983e59305e371f9bd76204c439b3aa1f98174e94 9dc226203f08b6a597619656171ea85e7ccaa4f8154855a45871ff00bf32c345
12.1.7.157-20150205124001,1acf730f9dc2e152f15b5c6e1e8d284a6ef8b1c55671ad5869c89470058691c3,2015-02-05 12:40:01,26e2f03d20577bc3b6210d2cdf0b1adc5fff181f9f71804b5165541bf648cbe2
12.1.7.157-20150216081532,985f3c49ab4d628c2d4cc9824f6a00d99f6313e5495366ad7f526e2bdcd3a90d,2015-02-16 08:15:32,037bd070362cf48c752ad55b9f40f2982c9813be2e433591479005b80f40bc09 bfa7b3c1473505659bbe18d036dd893503ebfb9ccf158f5fab5d8ceb7b3b7254
12.1.8.158-20150417144717,76cb2755e62ad436e7e1aaeeda417ac079828660510367dd04c7d7031b8ed8b6,2015-04-17 14:47:17,3670c118433482c89c1f7158251e6e8156503b25e602a28e79ede98fcb80e1c4 54fcd8773c70737ba703f16c86505d892f947f967881173b607df749511f6668 a8e01a99c7ccd19e0692d475fbb0717e5edf4aad6116e565fc5c9fce83441255 b196c83a3be57aa18ddc59b6759793190037a1f1eb53c45e5ecdd0ab72263e65 d3c53381477f7c1c20a52b701137ddde5d19e1f5c4008078a71ecdfb8b582308
12.1.8.158-20150507051135,ea7801fbad748d1b16dace91b5ff49eb8d9055b0b3fa55e73bac865e560fe5d0,2015-05-07 05:11:35,0bcf82e241ca73b948b0fafb8df18f70731a6c0c1cccf296911bc756e4573ddf 7b58ee8e34f90213d711ce1d1ab09a45e2b633b97cda0d2e790b16c430f29259
12.1.9.159,e6ebca12d14e9b0137b7868520164f9e25fd2a51c8bbdc966a356a37886a9606,2015-06-26 06:02:33,53f15311f0632a2847ba502ab1c8df62897381a3318f3797ccc6f84cfa47ecbf a63dbe7aaa3a484c277c2f0142d23b69faac5c698153307d5d92963a1e09fd9d
12.1.9.160,d4ba4b884c55f457c7a81027afe069763d798edc446720d87ec09ea5af53e948,2015-07-23 05:57:39,0f9eabb334bd5df43cea3d7df740ba3a2b207f30c887fd1ecb76ea7054cfb8d4 180c7ccce064ea5c067d336d8de45d819d87435d3bf9b8ace418a39059df73d4 8b831195187f2fa5dbe91a538082a3466a9b7391406ac07a1f372d99a2b86bb3 a4d63a31efc81af1cdab6b821c661e0bcb156e3595ef900d252f80fd82fbe8a6
12.2.0.162-20150831075309,174e88f9742fb61712626e4fac599c00d48249929c874be4d85fbb799cd722d4,2015-08-31 07:53:09,3d885bf891ceb0c0ea129483a6bec3f10ed9d48af3586722edd6cc39011e5e3c 645c35d1a158a1e662883c09edbffdfdb1d093012a21867dda3b499762092c16 8a29f61c70830968112e36b4b75a225a5fb9db6710d4a7b04a21ef6d716b6eb1
12.2.0.162-20150907104033,c4196b058d309cbc79f0928e371885d1e80924fd62becd499ab3f12c6fd422fd,2015-09-07 10:40:33,5ed4e0c161238c6de8dca07896a7f4ecc8fa36cc0bcb302a4726acd17deaa987
